Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Група кріплення,Матеріал,Клас міцності,Покриття,Діаметр,Упаковка,Головка,Вид різьби,Довжина,Тип різьби,Крок різьби,Розмір під ключ
Болти,Болти з шестигранною головкою," DIN 933 8,8 цинк Болт з шестигранною головкою і повною різьбою ","Болт DIN 933 M3x5 8,8 цинк","933-3-5-8,8ц","
                                    1,41                                ",Високоміцне кріплення,Сталь,8.8,Цинк,3.0,500,Шестигранна,Повна,5,Метрична,0.5,5.5
Болти,Болти з шестигранною головкою," DIN 933 8,8 цинк Болт з шестигранною головкою і повною різьбою ","Болт DIN 933 M3x6 8,8 цинк","933-3-6-8,8ц","
                                    1,52                                ",Високоміцне кріплення,Сталь,8.8,Цинк,3.0,500,Шестигранна,Повна,6,Метрична,0.5,5.5
Болти,Болти з шестигранною головкою," DIN 933 8,8 цинк Болт з шестигранною головкою і повною різьбою ","Болт DIN 933 M3x8 8,8 цинк","933-3-8-8,8ц","
                                    0,77                                ",Високоміцне кріплення,Сталь,8.8,Цинк,3.0,"500, 100",Шестигранна,Повна,8,Метрична,0.5,5.5
Болти,Болти з шестигранною головкою," DIN 933 8,8 цинк Болт з шестигранною головкою і повною різьбою ","Болт DIN 933 M3x10 8,8 цинк","933-3-10-8,8ц","
                                    0,76                                ",Високоміцне кріплення,Сталь,8.8,Цинк,3.0,"500, 100",Шестигранна,Повна,10,Метрична,0.5,5.5
Болти,Болти з шестигранною головкою," DIN 933 8,8 цинк Болт з шестигранною головкою і повною різьбою ","Болт DIN 933 M3x12 8,8 цинк","933-3-12-8,8ц","
                                    0,86                                ",Високоміцне кріплення,Сталь,8.8,Цинк,3.0,"500, 100",Шестигранна,Повна,12,Метрична,0.5,5.5
Болти,Болти з шестигранною головкою," DIN 933 8,8 цинк Болт з шестигранною головкою і повною різьбою ","Болт DIN 933 M3x14 8,8 цинк","933-3-14-8,8ц","
                                    -                                ",Високоміцне кріплення,Сталь,8.8,Цинк,3.0,,Шестигранна,Повна,14,Метрична,,
Болти,Болти з шестигранною головкою," DIN 933 8,8 цинк Болт з шестигранною головкою і повною різьбою ","Болт DIN 933 M3x16 8,8 цинк","933-3-16-8,8ц","
                                    1,03                                ",Високоміцне кріплення,Сталь,8.8,Цинк,3.0,"500, 100",Шестигранна,Повна,16,Метрична,0.5,5.5
Болти,Болти з шестигранною головкою," DIN 933 8,8 цинк Болт з шестигранною головкою і повною різьбою ","Болт DIN 933 M3x18 8,8 цинк","933-3-18-8,8ц","
                                    -                                ",Високоміцне кріплення,Сталь,8.8,Цинк,3.0,,Шестигранна,Повна,18,Метрична,,
Болти,Болти з шестигранною головкою," DIN 933 8,8 цинк Болт з шестигранною головкою і повною різьбою ","Болт DIN 933 M3x20 8,8 цинк","933-3-20-8,8ц","
                                    1,08                                ",Високоміцне кріплення,Сталь,8.8,Цинк,3.0,"500, 100",Шестигранна,Повна,20,Метрична,0.5,5.5
Болти,Болти з шестигранною головкою," DIN 933 8,8 цинк Болт з шестигранною головкою і повною різьбою ","Болт DIN 933 M3x25 8,8 цинк","933-3-25-8,8ц","
                                    1,34                                ",Високоміцне кріплення,Сталь,8.8,Цинк,3.0,500,Шестигранна,Повна,25,Метрична,0.5,5.5
Болти,Болти з шестигранною головкою," DIN 933 8,8 цинк Болт з шестигранною головкою і повною різьбою ","Болт DIN 933 M3x30 8,8 цинк","933-3-30-8,8ц","
                                    1,40                                ",Високоміцне кріплення,Сталь,8.8,Цинк,3.0,500,Шестигранна,Повна,30,Метрична,0.5,5.5
Болти,Болти з шестигранною головкою," DIN 933 8,8 цинк Болт з шестигранною головкою і повною різьбою ","Болт DIN 933 M3x35 8,8 цинк","933-3-35-8,8ц","
                                    4,11                                ",Високоміцне кріплення,Сталь,8.8,Цинк,3.0,500,Шестигранна,Повна,35,Метрична,0.5,5.5
Болти,Болти з шестигранною головкою," DIN 933 8,8 цинк Болт з шестигранною головкою і повною різьбою ","Болт DIN 933 M3x40 8,8 цинк","933-3-40-8,8ц","
                                    3,41                                ",Високоміцне кріплення,Сталь,8.8,Цинк,3.0,500,Шестигранна,Повна,40,Метрична,0.5,5.5
Болти,Болти з шестигранною головкою," DIN 933 8,8 цинк Болт з шестигранною головкою і повною різьбою ","Болт DIN 933 M3x50 8,8 цинк","933-3-50-8,8ц","
                                    -                                ",Високоміцне кріплення,Сталь,8.8,Цинк,3.0,500,Шестигранна,Повна,50,Метрична,0.5,5.5
Болти,Болти з шестигранною головкою," DIN 933 8,8 цинк Болт з шестигранною головкою і повною різьбою ","Болт DIN 933 M4x5 8,8 цинк","933-4-5-8,8ц","
                                    -                                ",Високоміцне кріплення,Сталь,8.8,Цинк,4.0,,Шестигранна,Повна,5,Метрична,0.7,7.0
Болти,Болти з шестигранною головкою," DIN 933 8,8 цинк Болт з шестигранною головкою і повною різьбою ","Болт DIN 933 M4x6 8,8 цинк","933-4-6-8,8ц","
                                    1,85                                ",Високоміцне кріплення,Сталь,8.8,Цинк,4.0,500,Шестигранна,Повна,6,Метрична,0.7,7.0
Болти,Болти з шестигранною головкою," DIN 933 8,8 цинк Болт з шестигранною головкою і повною різьбою ","Болт DIN 933 M4x8 8,8 цинк","933-4-8-8,8ц","
                                    0,90                                ",Високоміцне кріплення,Сталь,8.8,Цинк,4.0,"500, 100",Шестигранна,Повна,8,Метрична,0.7,7.0
Болти,Болти з шестигранною головкою," DIN 933 8,8 цинк Болт з шестигранною головкою і повною різьбою ","Болт DIN 933 M4x10 8,8 цинк","933-4-10-8,8ц","
                                    1,04                                ",Високоміцне кріплення,Сталь,8.8,Цинк,4.0,"500, 100",Шестигранна,Повна,10,Метрична,0.7,7.0
Болти,Болти з шестигранною головкою," DIN 933 8,8 цинк Болт з шестигранною головкою і повною різьбою ","Болт DIN 933 M4x12 8,8 цинк","933-4-12-8,8ц","
                                    0,75                                ",Високоміцне кріплення,Сталь,8.8,Цинк,4.0,"1000, 500",Шестигранна,Повна,12,Метрична,0.7,7.0
Болти,Болти з шестигранною головкою," DIN 933 8,8 цинк Болт з шестигранною головкою і повною різьбою ","Болт DIN 933 M4x14 8,8 цинк","933-4-14-8,8ц","
                                    1,21                                ",Високоміцне кріплення,Сталь,8.8,Цинк,4.0,500,Шестигранна,Повна,14,Метрична,0.7,7.0
Болти,Болти з шестигранною головкою," DIN 933 8,8 цинк Болт з шестигранною головкою і повною різьбою ","Болт DIN 933 M4x16 8,8 цинк","933-4-16-8,8ц","
                                    0,90                                ",Високоміцне кріплення,Сталь,8.8,Цинк,4.0,500,Шестигранна,Повна,16,Метрична,0.7,7.0
Болти,Болти з шестигранною головкою," DIN 933 8,8 цинк Болт з шестигранною головкою і повною різьбою ","Болт DIN 933 M4x18 8,8 цинк","933-4-18-8,8ц","
                                    1,32                                ",Високоміцне кріплення,Сталь,8.8,Цинк,4.0,500,Шестигранна,Повна,18,Метрична,0.7,7.0
Болти,Болти з шестигранною головкою," DIN 933 8,8 цинк Болт з шестигранною головкою і повною різьбою ","Болт DIN 933 M4x20 8,8 цинк","933-4-20-8,8ц","
                                    1,05                                ",Високоміцне кріплення,Сталь,8.8,Цинк,4.0,500,Шестигранна,Повна,20,Метрична,0.7,7.0
Болти,Болти з шестигранною головкою," DIN 933 8,8 цинк Болт з шестигранною головкою і повною різьбою ","Болт DIN 933 M4x22 8,8 цинк","933-4-22-8,8ц","
                                    2,26                                ",Високоміцне кріплення,Сталь,8.8,Цинк,4.0,500,Шестигранна,Повна,22,Метрична,0.7,7.0
Болти,Болти з шестигранною головкою," DIN 933 8,8 цинк Болт з шестигранною головкою і повною різьбою ","Болт DIN 933 M4x25 8,8 цинк","933-4-25-8,8ц","
                                    1,47                                ",Високоміцне кріплення,Сталь,8.8,Цинк,4.0,500,Шестигранна,Повна,25,Метрична,0.7,7.0
Болти,Болти з шестигранною головкою," DIN 933 8,8 цинк Болт з шестигранною головкою і повною різьбою ","Болт DIN 933 M4x30 8,8 цинк","933-4-30-8,8ц","
                                    1,78                                ",Високоміцне кріплення,Сталь,8.8,Цинк,4.0,"500, 100",Шестигранна,Повна,30,Метрична,0.7,7.0
Болти,Болти з шестигранною головкою," DIN 933 8,8 цинк Болт з шестигранною головкою і повною різьбою ","Болт DIN 933 M4x35 8,8 цинк","933-4-35-8,8ц","
                                    1,90                                ",Високоміцне кріплення,Сталь,8.8,Цинк,4.0,"500, 100",Шестигранна,Повна,35,Метрична,0.7,7.0
Болти,Болти з шестигранною головкою," DIN 933 8,8 цинк Болт з шестигранною головкою і повною різьбою ","Болт DIN 933 M4x40 8,8 цинк","933-4-40-8,8ц","
                                    1,73                                ",Високоміцне кріплення,Сталь,8.8,Цинк,4.0,"500, 100",Шестигранна,Повна,40,Метрична,0.7,7.0
