Item No.,Item Description,Ref Standard,Pack,In Stock,InTransit Qty,Special  Price euro/1000,ETA Date
060910085AS-03,DIN 609 M10x85 HEXAGON FIT BOLT 8.8 BLK,DIN 609,50,0,5300,322.64,4/10/2026
060908042AS-03,DIN 609 M8x42 HEXAGON FIT BOLT 8.8 BLK,DIN 609,100,"5,400",0,113.79,
060912042AS-03,DIN 609 M12x42 HEXAGON FIT BOLT 8.8 BLK,DIN 609,50,0,5000,249.01,4/2/2026
060908038AS-03,DIN 609 M8x38 HEXAGON FIT BOLT 8.8 BLK,DIN 609,100,0,3400,113.39,4/30/2026
060910075AS-03,DIN 609 M10x75 HEXAGON FIT BOLT 8.8 BLK,DIN 609,50,0,5200,312.66,4/30/2026
060910080AS-03,DIN 609 M10x80 HEXAGON FIT BOLT 8.8 BLK,DIN 609,50,0,1000,305.84,4/10/2026
060916040AS-03,DIN 609 M16x40 HEXAGON FIT BOLT 8.8 BLK,DIN 609,10,0,3050,463.66,4/2/2026
060916045AS-03,DIN 609 M16x45 HEXAGON FIT BOLT 8.8 BLK,DIN 609,25,225,400,499.80,4/30/2026
060912080AS-01,DIN 609 M12x80 HEXAGON FIT BOLT 8.8 ZNW,DIN 609,50,50,0,423.05,
060908080AS-03,DIN 609 M8x80 HEXAGON FIT BOLT 8.8 BLK,DIN 609,100,"4,900",0,198.40,
060910048AS-03,DIN 609 M10x48 HEXAGON FIT BOLT 8.8 BLK,DIN 609,50,"5,400",0,201.71,
060910038AS-03,DIN 609 M10x38 HEXAGON FIT BOLT 8.8 BLK,DIN 609,100,"5,400",0,168.24,
060910030AS-03,DIN 609 M10x30 HEXAGON FIT BOLT 8.8 BLK,DIN 609,100,"9,600",0,141.91,
060910070AS-03,DIN 609 M10x70 HEXAGON FIT BOLT 8.8 BLK,DIN 609,50,"1,350",0,272.40,
060908030AS-03,DIN 609 M8x30 HEXAGON FIT BOLT 8.8 BLK,DIN 609,200,"3,200",0,87.02,
060912048AS-03,DIN 609 M12x48 HEXAGON FIT BOLT 8.8 BLK,DIN 609,50,"4,350",0,277.12,
060908055AS-03,DIN 609 M8x55 HEXAGON FIT BOLT 8.8 BLK,DIN 609,100,"1,900",0,142.66,
060910055AS-03,DIN 609 M10x55 HEXAGON FIT BOLT 8.8 BLK,DIN 609,50,"4,550",0,220.68,
060912095AS-03,DIN 609 M12x95 HEXAGON FIT BOLT 8.8 BLK,DIN 609,50,"2,100",0,490.88,
060912085AS-03,DIN 609 M12x85 HEXAGON FIT BOLT 8.8 BLK,DIN 609,50,"2,000",0,445.82,
060912110AS-03,DIN 609 M12x110 HEXAGON FIT BOLT 8.8 BLK,DIN 609,50,"2,900",0,562.28,
060910050CS-03,DIN 609 M10x50 HEXAGON FIT BOLT 10.9 BLK,DIN 609,50,"2,650",0,221.59,
060910100AS-03,DIN 609 M10x100 HEXAGON FIT BOLT 8.8 BLK,DIN 609,50,"1,650",0,372.27,
060910090AS-03,DIN 609 M10x90 HEXAGON FIT BOLT 8.8 BLK,DIN 609,50,50,0,338.83,
060912075AS-03,DIN 609 M12x75 HEXAGON FIT BOLT 8.8 BLK,DIN 609,50,"2,450",0,399.84,
060910042AS-03,DIN 609 M10x42 HEXAGON FIT BOLT 8.8 BLK,DIN 609,100,"4,700",0,181.45,
060908065AS-03,DIN 609 M8x65 HEXAGON FIT BOLT 8.8 BLK,DIN 609,50,"15,000",0,165.11,
060912070AS-03,DIN 609 M12x70 HEXAGON FIT BOLT 8.8 BLK,DIN 609,50,"2,150",0,376.27,
060908045AS-03,DIN 609 M8x45 HEXAGON FIT BOLT 8.8 BLK,DIN 609,100,"3,400",0,120.37,
060916065CS-03,DIN 609 M16x65 HEXAGON FIT BOLT 10.9 BLK,DIN 609,25,"3,250",0,659.83,
060916070AS-03,DIN 609 M16x70 HEXAGON FIT BOLT 8.8 BLK,DIN 609,10,100,0,699.95,
060908048AS-03,DIN 609 M8x48 HEXAGON FIT BOLT 8.8 BLK,DIN 609,100,"6,200",0,127.06,
060916075AS-03,DIN 609 M16x75 HEXAGON FIT BOLT 8.8 BLK,DIN 609,10,"1,280",0,740.78,
060920085AS-03,DIN 609 M20x85 HEXAGON FIT BOLT 8.8 BLK,DIN 609,10,570,0,1431.63,
060910045AS-03,DIN 609 M10x45 HEXAGON FIT BOLT 8.8 BLK,DIN 609,100,"3,400",0,191.44,
060910095AS-03,DIN 609 M10x95 HEXAGON FIT BOLT 8.8 BLK,DIN 609,50,"3,100",0,355.66,
060930095AS-03,DIN 609 M30x95 HEXAGON FIT BOLT 8.8 BLK,DIN 609,5,245,0,3947.84,
060924055AS-03,DIN 609 M24x55 HEXAGON FIT BOLT 8.8 BLK,DIN 609,10,130,0,1494.30,
060912060AS-01,DIN 609 M12x60 HEXAGON FIT BOLT 8.8 ZNW,DIN 609,50,100,0,329.46,
060916130AS-03,DIN 609 M16x130 HEXAGON FIT BOLT 8.8 BLK,DIN 609,10,750,0,1176.98,
060924050AS-03,DIN 609 M24x50 HEXAGON FIT BOLT 8.8 BLK,DIN 609,25,950,0,1354.51,
060916085CS-03,DIN 609 M16x85 HEXAGON FIT BOLT 10.9 BLK,DIN 609,25,"1,275",0,820.32,
060916070AS-01,DIN 609 M16x70 HEXAGON FIT BOLT 8.8 ZNW,DIN 609,25,"1,025",0,699.95,
060920045AS-03,DIN 609 M20x45 HEXAGON FIT BOLT 8.8 BLK,DIN 609,25,"2,325",0,939.96,
060912055CS-01,DIN 609 M12x55 HEXAGON FIT BOLT 10.9 ZNW,DIN 609,50,"4,950",0,306.29,
060916095AS-03,DIN 609 M16x95 HEXAGON FIT BOLT 8.8 BLK,DIN 609,25,"1,090",0,949.91,
060920120AS-03,DIN 609 M20x120 HEXAGON FIT BOLT 8.8 BLK,DIN 609,10,740,0,1872.09,
060920170AS-03,DIN 609 M20x170 HEXAGON FIT BOLT 8.8 BLK,DIN 609,5,535,0,2554.77,
060914060AS-03,DIN 609 M14x60 HEXAGON FIT BOLT 8.8 BLK,DIN 609,10,"1,620",0,459.64,
060916035AS-03,DIN 609 M16x35 HEXAGON FIT BOLT 8.8 BLK,DIN 609,25,"4,300",0,441.25,
060920095AS-03,DIN 609 M20x95 HEXAGON FIT BOLT 8.8 BLK,DIN 609,10,480,0,1547.28,
060916085AS-03,DIN 609 M16x85 HEXAGON FIT BOLT 8.8 BLK,DIN 609,25,"1,250",0,820.32,
060910065AS-03,DIN 609 M10x65 HEXAGON FIT BOLT 8.8 BLK,DIN 609,50,"6,300",0,255.91,
060920075AS-03,DIN 609 M20x75 HEXAGON FIT BOLT 8.8 BLK,DIN 609,10,200,0,1296.66,
060920065AS-03,DIN 609 M20x65 HEXAGON FIT BOLT 8.8 BLK,DIN 609,10,200,0,1166.52,
060920110AS-03,DIN 609 M20x110 HEXAGON FIT BOLT 8.8 BLK,DIN 609,10,380,0,1759.41,
060920090AS-03,DIN 609 M20x90 HEXAGON FIT BOLT 8.8 BLK,DIN 609,25,275,0,1494.30,
060920080AS-03,DIN 609 M20x80 HEXAGON FIT BOLT 8.8 BLK,DIN 609,10,480,0,1351.48,
060920050AS-03,DIN 609 M20x50 HEXAGON FIT BOLT 8.8 BLK,DIN 609,25,"2,500",0,978.53,
060916065AS-03,DIN 609 M16x65 HEXAGON FIT BOLT 8.8 BLK,DIN 609,25,"1,395",0,659.83,
060916060AS-03,DIN 609 M16x60 HEXAGON FIT BOLT 8.8 BLK,DIN 609,25,"2,470",0,620.29,
060920070AS-03,DIN 609 M20x70 HEXAGON FIT BOLT 8.8 BLK,DIN 609,10,240,0,1222.54,
060916055AS-03,DIN 609 M16x55 HEXAGON FIT BOLT 8.8 BLK,DIN 609,25,"1,750",0,580.13,
060916050AS-03,DIN 609 M16x50 HEXAGON FIT BOLT 8.8 BLK,DIN 609,10,"1,580",0,539.96,
060916090AS-03,DIN 609 M16x90 HEXAGON FIT BOLT 8.8 BLK,DIN 609,10,"1,915",0,861.26,
060916100AS-03,DIN 609 M16x100 HEXAGON FIT BOLT 8.8 BLK,DIN 609,10,640,0,940.69,
060912120AS-03,DIN 609 M12x120 HEXAGON FIT BOLT 8.8 BLK,DIN 609,25,900,0,606.90,
060916110AS-03,DIN 609 M16x110 HEXAGON FIT BOLT 8.8 BLK,DIN 609,10,570,0,1016.48,
060920160AS-03,DIN 609 M20x160 HEXAGON FIT BOLT 8.8 BLK,DIN 609,10,510,0,2354.60,
060920120CS-03,DIN 609 M20x120 HEXAGON FIT BOLT 10.9 BLK,DIN 609,10,"1,050",0,1872.01,
060908050CS-03,DIN 609 M8x50 HEXAGON FIT BOLT 10.9 BLK,DIN 609,100,350,0,131.64,
060920220AS-03,DIN 609 M20x220 HEXAGON FIT BOLT 8.8 BLK,DIN 609,10,80,0,3013.97,
060910120AS-03,DIN 609 M10x120 HEXAGON FIT BOLT 8.8 BLK,DIN 609,25,"1,000",0,406.53,
060916045CS-03,DIN 609 M16x45 HEXAGON FIT BOLT 10.9 BLK,DIN 609,10,"1,475",0,499.80,
060920070CS-03,DIN 609 M20x70 HEXAGON FIT BOLT 10.9 BLK,DIN 609,10,110,0,1222.54,
060924160AS-03,DIN 609 M24x160 HEXAGON FIT BOLT 8.8 BLK,DIN 609,5,115,0,3167.50,
060908050AS-03,DIN 609 M8x50 HEXAGON FIT BOLT 8.8 BLK,DIN 609,25,0,1250,131.52,4/2/2026
061012055AS-03,DIN 610 M12x55 HEXAGON FIT BOLT 8.8 BLK,DIN 610,100,"2,500",0,326.21,
061010075AS-03,DIN 610 M10x75 HEXAGON FIT BOLT 8.8 BLK,DIN 610,50,0,2500,324.24,4/2/2026
061020065AS-03,DIN 610 M20x65 HEXAGON FIT BOLT 8.8 BLK,DIN 610,25,0,230,1196.60,4/2/2026
061012070AS-03,DIN 610 M12x70 HEXAGON FIT BOLT 8.8 BLK,DIN 610,25,0,2100,376.64,4/10/2026
061008065AS-03,DIN 610 M8x65 HEXAGON FIT BOLT 8.8 BLK,DIN 610,50,"5,350",0,164.96,
061008050AS-01,DIN 610 M8x50 HEXAGON FIT BOLT 8.8 ZNW,DIN 610,100,"2,600",0,131.52,
061012055CS-03,DIN 610 M12x55 HEXAGON FIT BOLT 10.9 BLK,DIN 610,50,"3,200",0,325.89,
061008040AS-03,DIN 610 M8x40 HEXAGON FIT BOLT 8.8 BLK,DIN 610,200,"4,800",0,109.22,
061008045AS-01,DIN 610 M8x45 HEXAGON FIT BOLT 8.8 ZNW,DIN 610,100,600,0,120.37,
061010032AS-03,DIN 610 M10x32 HEXAGON FIT BOLT 8.8 BLK,DIN 610,100,"5,900",0,148.46,
061014055AS-01,DIN 610 M14x55 HEXAGON FIT BOLT 8.8 ZNW,DIN 610,50,350,0,430.21,
061030075AS-03,DIN 610 M30x75 HEXAGON FIT BOLT 8.8 BLK,DIN 610,10,190,0,3340.47,
061030085AS-03,DIN 610 M30x85 HEXAGON FIT BOLT 8.8 BLK,DIN 610,10,240,0,3644.16,
061030100CS-03,DIN 610 M30x100 HEXAGON FIT BOLT 10.9 BLK,DIN 610,50,385,0,3793.13,
061008045AS-03,DIN 610 M8x45 HEXAGON FIT BOLT 8.8 BLK,DIN 610,100,"1,800",0,120.37,
061012090AS-03,DIN 610 M12x90 HEXAGON FIT BOLT 8.8 BLK,DIN 610,50,"1,050",0,468.11,
061020045AS-03,DIN 610 M20x45 HEXAGON FIT BOLT 8.8 BLK,DIN 610,25,"1,675",0,939.96,
061020050AS-03,DIN 610 M20x50 HEXAGON FIT BOLT 8.8 BLK,DIN 610,25,900,0,978.53,
061020140AS-03,DIN 610 M20x140 HEXAGON FIT BOLT 8.8 BLK,DIN 610,5,605,0,2149.86,
061020150AS-03,DIN 610 M20x150 HEXAGON FIT BOLT 8.8 BLK,DIN 610,5,495,0,2284.83,
061024090AS-03,DIN 610 M24x90 HEXAGON FIT BOLT 8.8 BLK,DIN 610,10,160,0,2193.25,
061024100AS-03,DIN 610 M24x100 HEXAGON FIT BOLT 8.8 BLK,DIN 610,5,520,0,2376.41,
061024150AS-03,DIN 610 M24x150 HEXAGON FIT BOLT 8.8 BLK,DIN 610,5,80,0,3306.74,
061012040AS-01,DIN 610 M12x40 HEXAGON FIT BOLT 8.8 ZNW,DIN 610,50,150,0,239.85,
061020160AS-03,DIN 610 M20x160 HEXAGON FIT BOLT 8.8 BLK,DIN 610,5,155,0,2352.31,
061010045CS-03,DIN 610 M10x45 HEXAGON FIT BOLT 10.9 BLK,DIN 610,50,"5,100",0,191.25,
061012045CS-03,DIN 610 M12x45 HEXAGON FIT BOLT 10.9 BLK,DIN 610,25,200,0,263.03,
061016100AS-03,DIN 610 M16x100 HEXAGON FIT BOLT 8.8 BLK,DIN 610,25,625,0,940.69,
061020055AS-03,DIN 610 M20x55 HEXAGON FIT BOLT 8.8 BLK,DIN 610,25,25,0,1036.37,
