   CUSTOMER CODE;MATERIAL;DIN;DESCRIPTION;SIZES;KING CODE;OUR CODE
1139;A2;DIN 84;A2 DIN 84  Slotted cheese head screws;1,2X3;200841,2X3;
1139;A2;DIN 84;A2 DIN 84  Slotted cheese head screws;1,2X4;200841,2X4;
1139;A2;DIN 84;A2 DIN 84  Slotted cheese head screws;1,2X6;200841,2X6;
1139;A2;DIN 84;A2 DIN 84  Slotted cheese head screws;1,2X8;200841,2X8;
1139;A2;DIN 84;A2 DIN 84  Slotted cheese head screws;1,4X3;200841,4X3;
1139;A2;DIN 84;A2 DIN 84  Slotted cheese head screws;1,4X4;200841,4X4;
1139;A2;DIN 84;A2 DIN 84  Slotted cheese head screws;1,4X5;200841,4X5;
1139;A2;DIN 84;A2 DIN 84  Slotted cheese head screws;1,4X6;200841,4X6;
1139;A2;DIN 84;A2 DIN 84  Slotted cheese head screws;1,4X8;200841,4X8;
1139;A2;DIN 84;A2 DIN 84  Slotted cheese head screws;1,4X10;200841,4X10;
1139;A2;DIN 84;A2 DIN 84  Slotted cheese head screws;1,6X2;200841,6X2;
1139;A2;DIN 84;A2 DIN 84  Slotted cheese head screws;1,6X3;200841,6X3;
1139;A2;DIN 84;A2 DIN 84  Slotted cheese head screws;1,6X4;200841,6X4;
1139;A2;DIN 84;A2 DIN 84  Slotted cheese head screws;1,6X5;200841,6X5;
1139;A2;DIN 84;A2 DIN 84  Slotted cheese head screws;1,6X6;200841,6X6;
1139;A2;DIN 84;A2 DIN 84  Slotted cheese head screws;1,6X8;200841,6X8;
1139;A2;DIN 84;A2 DIN 84  Slotted cheese head screws;1,6X10;200841,6X10;
1139;A2;DIN 84;A2 DIN 84  Slotted cheese head screws;1,6X12;200841,6X12;
1139;A2;DIN 84;A2 DIN 84  Slotted cheese head screws;1,6X14;200841,6X14;
1139;A2;DIN 84;A2 DIN 84  Slotted cheese head screws;1,6X16;200841,6X16;
1139;A2;DIN 84;A2 DIN 84  Slotted cheese head screws;1,6X20;200841,6X20;
1139;A2;DIN 84;A2 DIN 84  Slotted cheese head screws;2X3;200842X3;
1139;A2;DIN 84;A2 DIN 84  Slotted cheese head screws;2X4;200842X4;
1139;A2;DIN 84;A2 DIN 84  Slotted cheese head screws;2X5;200842X5;
1139;A2;DIN 84;A2 DIN 84  Slotted cheese head screws;2X6;200842X6;
1139;A2;DIN 84;A2 DIN 84  Slotted cheese head screws;2X8;200842X8;
1139;A2;DIN 84;A2 DIN 84  Slotted cheese head screws;2X10;200842X10;
1139;A2;DIN 84;A2 DIN 84  Slotted cheese head screws;2X12;200842X12;
1139;A2;DIN 84;A2 DIN 84  Slotted cheese head screws;2X14;200842X14;
1139;A2;DIN 84;A2 DIN 84  Slotted cheese head screws;2X16;200842X16;
1139;A2;DIN 84;A2 DIN 84  Slotted cheese head screws;2X18;200842X18;
1139;A2;DIN 84;A2 DIN 84  Slotted cheese head screws;2X20;200842X20;
1139;A2;DIN 84;A2 DIN 84  Slotted cheese head screws;2X22;200842X22;
1139;A2;DIN 84;A2 DIN 84  Slotted cheese head screws;2X25;200842X25;
1139;A2;DIN 84;A2 DIN 84  Slotted cheese head screws;2X30;200842X30;
1139;A2;DIN 84;A2 DIN 84  Slotted cheese head screws;2,5X3;200842,5X3;
