CUSTOMER CODE;MATERIAL;DIN;DESCRIPTION;SIZES;KING CODE;OUR CODE
1139;A2;DIN 84;A2 DIN 84  Slotted cheese head screws;8X18;200848X18;
1139;A2;DIN 84;A2 DIN 84  Slotted cheese head screws;8X55;200848X55;
1139;A2;DIN 84;A2 DIN 84  Slotted cheese head screws;8X65;200848X65;
1139;A2;DIN 84;A2 DIN 84  Slotted cheese head screws;10X55;2008410X55;
1139;A1;DIN 127 TYPE B;1.4310 DIN 127 TYPE B  Spring lock washers type B;2;20127B2;
1139;A1;DIN 127 TYPE B;1.4310 DIN 127 TYPE B  Spring lock washers type B;2,5;20127B2,5;
1139;A1;DIN 127 TYPE B;1.4310 DIN 127 TYPE B  Spring lock washers type B;3;20127B3;
1139;A1;DIN 127 TYPE B;1.4310 DIN 127 TYPE B  Spring lock washers type B;3,5;20127B3,5;
1139;A1;DIN 127 TYPE B;1.4310 DIN 127 TYPE B  Spring lock washers type B;4;20127B4;
1139;A1;DIN 127 TYPE B;1.4310 DIN 127 TYPE B  Spring lock washers type B;5;20127B5;
1139;A1;DIN 127 TYPE B;1.4310 DIN 127 TYPE B  Spring lock washers type B;6;20127B6;
1139;A1;DIN 127 TYPE B;1.4310 DIN 127 TYPE B  Spring lock washers type B;7;20127B7;
1139;A1;DIN 127 TYPE B;1.4310 DIN 127 TYPE B  Spring lock washers type B;8;20127B8;
1139;A1;DIN 127 TYPE B;1.4310 DIN 127 TYPE B  Spring lock washers type B;10;20127B10;
1139;A1;DIN 127 TYPE B;1.4310 DIN 127 TYPE B  Spring lock washers type B;12;20127B12;
1139;A1;DIN 127 TYPE B;1.4310 DIN 127 TYPE B  Spring lock washers type B;14;20127B14;
1139;A1;DIN 127 TYPE B;1.4310 DIN 127 TYPE B  Spring lock washers type B;16;20127B16;
1139;A1;DIN 127 TYPE B;1.4310 DIN 127 TYPE B  Spring lock washers type B;18;20127B18;
1139;A1;DIN 127 TYPE B;1.4310 DIN 127 TYPE B  Spring lock washers type B;20;20127B20;
1139;A1;DIN 127 TYPE B;1.4310 DIN 127 TYPE B  Spring lock washers type B;22;20127B22;
1139;A1;DIN 127 TYPE B;1.4310 DIN 127 TYPE B  Spring lock washers type B;24;20127B24;
1139;A1;DIN 127 TYPE B;1.4310 DIN 127 TYPE B  Spring lock washers type B;27;20127B27;
1139;A1;DIN 127 TYPE B;1.4310 DIN 127 TYPE B  Spring lock washers type B;30;20127B30;
1139;A1;DIN 127 TYPE B;1.4310 DIN 127 TYPE B  Spring lock washers type B;33;20127B33;
1139;A1;DIN 127 TYPE B;1.4310 DIN 127 TYPE B  Spring lock washers type B;36;20127B36;
1139;A1;DIN 127 TYPE B;1.4310 DIN 127 TYPE B  Spring lock washers type B;39;20127B39;
1139;A1;DIN 127 TYPE B;1.4310 DIN 127 TYPE B  Spring lock washers type B;42;20127B42;
1139;A1;DIN 128 TYPE B;1.4310 DIN 128 TYPE B  Spring lock washers type B waved;3;20128B3;
1139;A1;DIN 128 TYPE B;1.4310 DIN 128 TYPE B  Spring lock washers type B waved;4;20128B4;
1139;A1;DIN 128 TYPE B;1.4310 DIN 128 TYPE B  Spring lock washers type B waved;5;20128B5;
1139;A1;DIN 128 TYPE B;1.4310 DIN 128 TYPE B  Spring lock washers type B waved;6;20128B6;
1139;A1;DIN 128 TYPE B;1.4310 DIN 128 TYPE B  Spring lock washers type B waved;8;20128B8;
1139;A1;DIN 128 TYPE B;1.4310 DIN 128 TYPE B  Spring lock washers type B waved;10;20128B10;
1139;A1;DIN 128 TYPE B;1.4310 DIN 128 TYPE B  Spring lock washers type B waved;12;20128B12;
1139;A1;DIN 128 TYPE B;1.4310 DIN 128 TYPE B  Spring lock washers type B waved;16;20128B16;
1139;A1;DIN 128 TYPE B;1.4310 DIN 128 TYPE B  Spring lock washers type B waved;20;20128B20;
1139;A1;DIN 137A;1.4310 DIN 137A  Spring washers type A curved  curved type A;1,7;20137A1,7;
1139;A1;DIN 137A;1.4310 DIN 137A  Spring washers type A curved  curved type A;2;20137A2;
1139;A1;DIN 137A;1.4310 DIN 137A  Spring washers type A curved  curved type A;2,5;20137A2,5;
1139;A1;DIN 137A;1.4310 DIN 137A  Spring washers type A curved  curved type A;3;20137A3;
1139;A1;DIN 137A;1.4310 DIN 137A  Spring washers type A curved  curved type A;4;20137A4;
1139;A1;DIN 137A;1.4310 DIN 137A  Spring washers type A curved  curved type A;5;20137A5;
1139;A1;DIN 137A;1.4310 DIN 137A  Spring washers type A curved  curved type A;6;20137A6;
1139;A1;DIN 137A;1.4310 DIN 137A  Spring washers type A curved  curved type A;8;20137A8;
1139;A1;DIN 137A;1.4310 DIN 137A  Spring washers type A curved  curved type A;10;20137A10;
1139;A1;DIN 137B;1.4310 DIN 137B  Spring  washers type b waved;3;20137B3;
1139;A1;DIN 137B;1.4310 DIN 137B  Spring  washers type b waved;4;20137B4;
1139;A1;DIN 137B;1.4310 DIN 137B  Spring  washers type b waved;5;20137B5;
1139;A1;DIN 137B;1.4310 DIN 137B  Spring  washers type b waved;6;20137B6;
1139;A1;DIN 137B;1.4310 DIN 137B  Spring  washers type b waved;7;20137B7;
1139;A1;DIN 137B;1.4310 DIN 137B  Spring  washers type b waved;8;20137B8;
1139;A1;DIN 137B;1.4310 DIN 137B  Spring  washers type b waved;10;20137B10;
1139;A1;DIN 137B;1.4310 DIN 137B  Spring  washers type b waved;12;20137B12;
1139;A1;DIN 137B;1.4310 DIN 137B  Spring  washers type b waved;14;20137B14;
1139;A1;DIN 137B;1.4310 DIN 137B  Spring  washers type b waved;16;20137B16;
1139;A1;DIN 137B;1.4310 DIN 137B  Spring  washers type b waved;18;20137B18;
1139;A1;DIN 137B;1.4310 DIN 137B  Spring  washers type b waved;20;20137B20;
1139;A1;DIN 137B;1.4310 DIN 137B  Spring  washers type b waved;24;20137B24;
1139;A2;DIN 431;A2 DIN 431  Pipe nuts type B;05-ago;20431G5/8;
1139;A2;DIN 431;A2 DIN 431  Pipe nuts type B;03-apr;20431G3/4;
1139;A2;DIN 431;A2 DIN 431  Pipe nuts type B;03-ago;20431G3/8;
1139;A2;DIN 431;A2 DIN 431  Pipe nuts type B;11-feb;20431G11/2;
1139;A2;DIN 431;A2 DIN 431  Pipe nuts type B;01-apr;20431G1/4;
1139;A2;DIN 431;A2 DIN 431  Pipe nuts type B;01-feb;20431G1/2;
1139;A2;DIN 431;A2 DIN 431  Pipe nuts type B;01-ago;20431G1/8;
1139;A2;DIN 431;A2 DIN 431  Pipe nuts type B;1;20431G1;
1139;A2;DIN 431;A2 DIN 431  Pipe nuts type B;"1""1/4";20431G11/4;
1139;A2;DIN 439;A2 DIN 439  Hexagon thin nuts type B;56;2043956;
1139;A2;DIN 444 FORM B;A2 DIN 444 FORM B  Eye bolts type B;24X180;2044424X180;
1139;A2;DIN 444 FORM B;A2 DIN 444 FORM B  Eye bolts type B;24X200;2044424X200;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;3;204713;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;4;204714;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;5;204715;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;6;204716;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;7;204717;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;8;204718;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;9;204719;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;10;2047110;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;11;2047111;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;12;2047112;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;13;2047113;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;14;2047114;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;15;2047115;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;16;2047116;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;17;2047117;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;18;2047118;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;19;2047119;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;20;2047120;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;21;2047121;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;22;2047122;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;23;2047123;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;24;2047124;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;25;2047125;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;26;2047126;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;27;2047127;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;28;2047128;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;29;2047129;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;30;2047130;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;32;2047132;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;33;2047133;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;34;2047134;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;35;2047135;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;36;2047136;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;37;2047137;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;38;2047138;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;40;2047140;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;42;2047142;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;44;2047144;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;45;2047145;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;47;2047147;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;48;2047148;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;50;2047150;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;52;2047152;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;55;2047155;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;56;2047156;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;58;2047158;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;60;2047160;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;62;2047162;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;65;2047165;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;68;2047168;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;70;2047170;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;72;2047172;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;75;2047175;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;80;2047180;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;85;2047185;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;90;2047190;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;95;2047195;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;100;20471100;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;105;20471105;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;110;20471110;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;120;20471120;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;130;20471130;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;140;20471140;
1139;AISI 420;DIN 471;AISI 420 S/S DIN 471  Retaining rings for shafts;150;20471150;
1139;AISI 420;DIN 472;AISI 420 S/S DIN 472  Retaining rings for bores;8;204728;
