Article code,Item Full Name,Item Full Name English,Standard Name,Standard Code,Standard Group,Item article,Metric thread M,Thread pitch,Length,Coating,Material,Option,Packaging,King Name,King Size,King Code
265135,Шплінт 2х16 Cu DIN94 (100 шт),DIN 94 copper 2 x 16 Cu PU=S,DIN,94,DIN 94 Cu,Шплінт,2,,16,,Cu,,100,,,
265134,Шплінт 2х20 Cu DIN94 (100 шт),DIN 94 copper 2 x 20 Cu PU=S,DIN,94,DIN 94 Cu,Шплінт,2,,20,,Cu,,100,,,
265136,Шплінт 2х25 Cu DIN94 (100 шт),DIN 94 copper 2 x 25 Cu PU=S,DIN,94,DIN 94 Cu,Шплінт,2,,25,,Cu,,100,,,
265137,Шплінт 2х40 Cu DIN94 (100 шт),DIN 94 copper 2 x 40 Cu PU=S,DIN,94,DIN 94 Cu,Шплінт,2,,40,,Cu,,100,,,
265138,"Шплінт 3,2х20 Cu DIN94 (100 шт)","DIN 94 copper 3,2 x 20 Cu PU=S",DIN,94,DIN 94 Cu,Шплінт,3.2,,20,,Cu,,100,,,
265139,"Шплінт 3,2х25 Cu DIN94 (100 шт)","DIN 94 copper 3,2 x 25 Cu PU=S",DIN,94,DIN 94 Cu,Шплінт,3.2,,25,,Cu,,100,,,
265140,"Шплінт 3,2х32 Cu DIN94 (100 шт)","DIN 94 copper 3,2 x 32 Cu PU=S",DIN,94,DIN 94 Cu,Шплінт,3.2,,32,,Cu,,100,,,
265141,"Шплінт 3,2х36 Cu DIN94 (100 шт)","DIN 94 copper 3,2 x 36 Cu PU=S",DIN,94,DIN 94 Cu,Шплінт,3.2,,36,,Cu,,100,,,
265142,"Шплінт 3,2х40 Cu DIN94 (100 шт)","DIN 94 copper 3,2 x 40 Cu PU=S",DIN,94,DIN 94 Cu,Шплінт,3.2,,40,,Cu,,100,,,
265143,"Шплінт 3,2х50 Cu DIN94 (100 шт)","DIN 94 copper 3,2 x 50 Cu PU=S",DIN,94,DIN 94 Cu,Шплінт,3.2,,50,,Cu,,100,,,
265144,Шплінт 4х25 Cu DIN94 (100 шт),DIN 94 copper 4 x 25 Cu PU=S,DIN,94,DIN 94 Cu,Шплінт,4,,25,,Cu,,100,,,
265145,Шплінт 4х32 Cu DIN94 (100 шт),DIN 94 copper 4 x 32 Cu PU=S,DIN,94,DIN 94 Cu,Шплінт,4,,32,,Cu,,100,,,
265146,Шплінт 4х36 Cu DIN94 (100 шт),DIN 94 copper 4 x 36 Cu PU=S,DIN,94,DIN 94 Cu,Шплінт,4,,36,,Cu,,100,,,
265147,Шплінт 4х40 Cu DIN94 (100 шт),DIN 94 copper 4 x 40 Cu PU=S,DIN,94,DIN 94 Cu,Шплінт,4,,40,,Cu,,100,,,
265148,Шплінт 4х50 Cu DIN94 (100 шт),DIN 94 copper 4 x 50 Cu PU=S,DIN,94,DIN 94 Cu,Шплінт,4,,50,,Cu,,100,,,
265149,Шплінт 4х63 Cu DIN94 (100 шт),DIN 94 copper 4 x 63 Cu PU=S,DIN,94,DIN 94 Cu,Шплінт,4,,63,,Cu,,100,,,
265150,Шплінт 5х32 Cu DIN94 (100 шт),DIN 94 copper 5 x 32 Cu PU=S,DIN,94,DIN 94 Cu,Шплінт,5,,32,,Cu,,100,,,
265151,Шплінт 5х36 Cu DIN94 (100 шт),DIN 94 copper 5 x 36 Cu PU=S,DIN,94,DIN 94 Cu,Шплінт,5,,36,,Cu,,100,,,
265152,Шплінт 5х40 Cu DIN94 (100 шт),DIN 94 copper 5 x 40 Cu PU=S,DIN,94,DIN 94 Cu,Шплінт,5,,40,,Cu,,100,,,
265153,Шплінт 5х50 Cu DIN94 (100 шт),DIN 94 copper 5 x 50 Cu PU=S,DIN,94,DIN 94 Cu,Шплінт,5,,50,,Cu,,100,,,
265154,Шплінт 5х63 Cu DIN94 (100 шт),DIN 94 copper 5 x 63 Cu PU=S,DIN,94,DIN 94 Cu,Шплінт,5,,63,,Cu,,100,,,
265155,Шплінт 5х71 Cu DIN94 (100 шт),DIN 94 copper 5 x 71 Cu PU=S,DIN,94,DIN 94 Cu,Шплінт,5,,71,,Cu,,100,,,
265156,Шплінт 5х80 Cu DIN94 (100 шт),DIN 94 copper 5 x 80 Cu PU=S,DIN,94,DIN 94 Cu,Шплінт,5,,80,,Cu,,100,,,
265157,"Шплінт 6,3х50 Cu DIN94 (100 шт)","DIN 94 copper 6,3 x 50 Cu PU=S",DIN,94,DIN 94 Cu,Шплінт,6.3,,50,,Cu,,100,,,
265158,"Шплінт 6,3х63 Cu DIN94 (50 шт)","DIN 94 copper 6,3 x 63 Cu PU=S",DIN,94,DIN 94 Cu,Шплінт,6.3,,63,,Cu,,50,,,
265159,"Шплінт 6,3х80 Cu DIN94 (50 шт)","DIN 94 copper 6,3 x 80 Cu PU=S",DIN,94,DIN 94 Cu,Шплінт,6.3,,80,,Cu,,50,,,
265098,"Шплінт 1,6х10 латунь DIN94 (200 шт)","DIN 94 brass 1,6 x 10 Ms PU=S",DIN,94,DIN 94 латунь,Шплінт,1.6,,10,,латунь,,200,,,
265099,"Шплінт 1,6х12 латунь DIN94 (200 шт)","DIN 94 brass 1,6 x 12 Ms PU=S",DIN,94,DIN 94 латунь,Шплінт,1.6,,12,,латунь,,200,,,
265100,"Шплінт 1,6х16 латунь DIN94 (200 шт)","DIN 94 brass 1,6 x 16 Ms PU=S",DIN,94,DIN 94 латунь,Шплінт,1.6,,16,,латунь,,200,,,
265101,"Шплінт 1,6х20 латунь DIN94 (200 шт)","DIN 94 brass 1,6 x 20 Ms PU=S",DIN,94,DIN 94 латунь,Шплінт,1.6,,20,,латунь,,200,,,
265102,"Шплінт 1,6х25 латунь DIN94 (200 шт)","DIN 94 brass 1,6 x 25 Ms PU=S",DIN,94,DIN 94 латунь,Шплінт,1.6,,25,,латунь,,200,,,
265103,Шплінт 2х10 латунь DIN94 (100 шт),DIN 94 brass 2 x 10 Ms PU=S,DIN,94,DIN 94 латунь,Шплінт,2,,10,,латунь,,100,,,
265104,Шплінт 2х12 латунь DIN94 (100 шт),DIN 94 brass 2 x 12 Ms PU=S,DIN,94,DIN 94 латунь,Шплінт,2,,12,,латунь,,100,,,
265105,Шплінт 2х16 латунь DIN94 (100 шт),DIN 94 brass 2 x 16 Ms PU=S,DIN,94,DIN 94 латунь,Шплінт,2,,16,,латунь,,100,,,
265106,Шплінт 2х20 латунь DIN94 (100 шт),DIN 94 brass 2 x 20 Ms PU=S,DIN,94,DIN 94 латунь,Шплінт,2,,20,,латунь,,100,,,
265107,Шплінт 2х25 латунь DIN94 (100 шт),DIN 94 brass 2 x 25 Ms PU=S,DIN,94,DIN 94 латунь,Шплінт,2,,25,,латунь,,100,,,
265108,Шплінт 2х32 латунь DIN94 (100 шт),DIN 94 brass 2 x 32 Ms PU=S,DIN,94,DIN 94 латунь,Шплінт,2,,32,,латунь,,100,,,
265109,Шплінт 2х40 латунь DIN94 (100 шт),DIN 94 brass 2 x 40 Ms PU=S,DIN,94,DIN 94 латунь,Шплінт,2,,40,,латунь,,100,,,
265110,Шплінт 2х50 латунь DIN94 (100 шт),DIN 94 brass 2 x 50 Ms PU=S,DIN,94,DIN 94 латунь,Шплінт,2,,50,,латунь,,100,,,
265111,"Шплінт 3,2х16 латунь DIN94 (100 шт)","DIN 94 brass 3,2 x 16 Ms PU=S",DIN,94,DIN 94 латунь,Шплінт,3.2,,16,,латунь,,100,,,
265112,"Шплінт 3,2х20 латунь DIN94 (100 шт)","DIN 94 brass 3,2 x 20 Ms PU=S",DIN,94,DIN 94 латунь,Шплінт,3.2,,20,,латунь,,100,,,
265113,"Шплінт 3,2х25 латунь DIN94 (100 шт)","DIN 94 brass 3,2 x 25 Ms PU=S",DIN,94,DIN 94 латунь,Шплінт,3.2,,25,,латунь,,100,,,
265114,"Шплінт 3,2х32 латунь DIN94 (100 шт)","DIN 94 brass 3,2 x 32 Ms PU=S",DIN,94,DIN 94 латунь,Шплінт,3.2,,32,,латунь,,100,,,
265115,"Шплінт 3,2х36 латунь DIN94 (100 шт)","DIN 94 brass 3,2 x 36 Ms PU=S",DIN,94,DIN 94 латунь,Шплінт,3.2,,36,,латунь,,100,,,
265116,"Шплінт 3,2х40 латунь DIN94 (100 шт)","DIN 94 brass 3,2 x 40 Ms PU=S",DIN,94,DIN 94 латунь,Шплінт,3.2,,40,,латунь,,100,,,
265117,"Шплінт 3,2х50 латунь DIN94 (100 шт)","DIN 94 brass 3,2 x 50 Ms PU=S",DIN,94,DIN 94 латунь,Шплінт,3.2,,50,,латунь,,100,,,
265118,"Шплінт 3,2х63 латунь DIN94 (100 шт)","DIN 94 brass 3,2 x 63 Ms PU=S",DIN,94,DIN 94 латунь,Шплінт,3.2,,63,,латунь,,100,,,
